cat,label,id,hru_area,hru_aspect,hru_elev,hru_lat,hru_slope,outlet_sta,hru_x,hru_xlong,hru_y,hru_ylat,K_coef,x_coef,hru_segment,obsin_segment,aspect_x_sum,aspect_y_sum,centroid_x,centroid_y,hru_lon,in_study_basin
4,,1,55892.306701,142.612799949224,4256.59592736023,-24.54467548,0.466196474825294,,188392.568659128,618085.874959614,7281991.52542373,23891049.0762712,,,18,,-26254.2661011359,20063.6099542883,188392.568659128,7281991.52542373,-66.07576652,1
5,,2,34303.736705,203.777709801913,4026.0396368784,-24.09013264,0.255886627804865,,196243.94184168,643844.974151857,7332559.94212484,24056955.9605209,,,6,,-32375.282744523,-14264.1583480545,196243.94184168,7332559.94212484,-65.98763589,1
6,,3,41005.943389,199.105740236513,4066.12778625043,-24.1105906,0.361236776853459,,217573.505654281,713823.860290791,7330730.67383216,24050954.4239355,,,10,,-36761.2687796691,-12733.855389396,217573.505654281,7330730.67383216,-65.77840203,1
8,,4,52704.255447,176.22039759806,3852.64525098352,-24.07300157,0.24167112669157,,209256.865912763,686538.295961229,7334730.2604382,24064076.4276561,,,8,,-38426.1307542874,2538.52085847488,209256.865912763,7334730.2604382,-65.85933804,1
9,,5,67260.365177,71.7196890585201,3865.10654537504,-24.23522126,0.263869880773083,,193103.392568659,633541.334474959,7316406.57296403,24003959.3408433,,,6,,20737.6591831909,62777.2447055413,193103.392568659,7316406.57296403,-66.02192136,1
10,,6,15351.959874,102.457115679645,3604.2167830138,-24.17299447,0.258835644480454,,205520.193861066,674278.87282714,7323568.6233981,24027456.8823894,,,8,,-1416.188947164,6410.71900515264,205520.193861066,7323568.6233981,-65.89831926,1
11,,7,122910.586172,73.1334080219255,3760.64300668688,-24.41308094,0.326164282820508,,191736.672051696,629057.343134086,7296656.67631253,23939163.0899132,,,20,,30117.4802572998,99336.501691997,191736.672051696,7296656.67631253,-66.03961317,1
13,,8,43350.969393,52.6776092368052,3655.76395762986,-24.28758008,0.306405713288524,,206581.583198708,677761.121421649,7310887.76353865,23985853.0101281,,,10,,10598.5106654563,13901.2609082746,206581.583198708,7310887.76353865,-65.89046698,1
14,,9,30384.109298,262.102322644899,4125.74536677557,-24.27320679,0.320251950718398,,222880.452342488,731235.103263328,7312810.04547334,23992159.7095908,,,11,,-9904.62579585181,-71400.0517360113,222880.452342488,7312810.04547334,-65.72968257,1
15,,10,136.568308,111.146327573299,3391.59577922078,-24.30402716,0.474775369061342,,215378.02907916,706620.852924071,7309244.52252997,23980461.7992972,,,11,,-134.177394145669,346.893453289707,215378.02907916,7309244.52252997,-65.80422154,1
16,,11,19370.476772,114.521134483034,3653.26802534878,-24.32719673,0.370929905905663,,212077.544426494,695792.490856219,7306609.13600661,23971815.5177759,,,14,,-6148.24963311191,13477.9255574737,212077.544426494,7306609.13600661,-65.83723771,1
17,,12,43975.496489,229.256685629307,3695.78390843003,-24.58394865,0.364584389674997,,224378.02907916,736148.412924071,7278394.99793303,23879249.4450186,,,23,,-25242.1367239828,-29301.8552298182,224378.02907916,7278394.99793303,-65.72160274,1
18,,13,28122.071377,261.908801771414,4172.93961750364,-24.36973798,0.34116844190562,,223054.9273021,731807.527689822,7302113.47664324,23957065.9787102,,,14,,-9234.3490779719,-64955.4493263745,223054.9273021,7302113.47664324,-65.73003289,1
19,,14,82727.505827,238.004781102091,3487.33390516099,-24.40706786,0.268187571244374,,216003.231017771,708672.040452344,7297834.8491112,23943028.486358,,,20,,-33612.8339896579,-53801.7684756322,216003.231017771,7297834.8491112,-65.80033305,1
20,,15,39651.789525,94.1349011761989,3965.53314949707,-24.69695198,0.446895837703546,,190602.584814216,625336.584361872,7265156.05622158,23835814.595494,,,18,,-4161.62356431188,57565.9153595262,190602.584814216,7265156.05622158,-66.05767074,1
22,,16,32153.676999,257.359636784581,3494.955125452,-24.52322029,0.249670761625704,,219521.809369952,720215.933053313,7285029.97106242,23901017.7302604,,,21,,-15712.8655866181,-70063.4369708307,219521.809369952,7285029.97106242,-65.76819627,1
24,,17,43224.927761,81.9014817266652,3675.06134975649,-24.87560336,0.526456109554695,,213386.106623586,700085.674054926,7245840.22323274,23772442.4379909,,,24,,8108.78269605751,56985.8414312044,213386.106623586,7245840.22323274,-65.83669607,1
28,,18,94453.359903,230.540102807506,3340.96657680542,-24.75503826,0.449920615390451,,205854.604200323,675376.019644588,7259048.16039686,23815775.5665564,,,24,,-6394.59535333084,-7768.33613569429,205854.604200323,7259048.16039686,-65.90837822,1
29,,19,28250.814299,44.7808125950869,3634.22932890292,-24.65218664,0.47888446413355,,206174.474959612,676425.464426494,7270457.83381563,23853208.8794957,,,22,,16718.7178970504,16591.2884506226,206174.474959612,7270457.83381563,-65.90283033,1
31,,20,8796.040572,74.545379384776,3133.00237974684,-24.54733926,0.275688465675765,,206305.331179321,676854.782746363,7282084.53906573,23891354.2391484,,,21,,2111.85489220087,7638.59064969953,206305.331179321,7282084.53906573,-65.89911974,1
32,,21,48591.806066,70.0216749142839,3325.47769095034,-24.58719225,0.383227475202239,,210012.924071082,689018.801809369,7277743.90243902,23877113.304878,,,22,,7528.92376930208,20709.9214387267,210012.924071082,7277743.90243902,-65.86344762,1
39,,22,17908.354854,73.9508881582217,2917.50366459627,-24.68623526,0.475065569515113,,217747.980613893,714396.284717285,7266923.31541959,23841612.6901612,,,23,,4635.27737759615,16112.9937637527,217747.980613893,7266923.31541959,-65.7893087,1
46,,23,20664.14402,217.897588847079,2705.79033597584,-24.75507771,0.584798191016863,,224116.316639742,735289.776284331,7259420.21496486,23816996.2180653,,,25,,-11402.7027124797,-8875.99123545672,224116.316639742,7259420.21496486,-65.72790755,1
48,,24,16284.15554,318.76486400068,2772.87594576475,-24.84063134,0.636078280134843,,220859.450726979,724604.520323102,7249870.81438611,23785666.1626705,,,25,,5569.57947253051,-4881.83454624095,220859.450726979,7249870.81438611,-65.76199066,1
52,,25,33533.228558,124.635266670392,2056.10285687716,-24.89688569,0.401645185827244,,225686.591276252,740441.596122779,7243731.91401406,23765525.4127739,,,0,,-21312.1463110986,30853.0682328237,225686.591276252,7243731.91401406,-65.71548104,1
